FOL_PROG,CVE_EDO,ESTADO,MUNICIPIO,SOLICITANT,TIPO_PROP,CONCEPTO,ESQUEMA,SUP_HA,MONTO_CNF,MONTO_PI,MONTO_TOT,EJERCICIO,GERENCIA
PSAAAP5525160002,16,MICHOACÁN DE OCAMPO,SALVADOR ESCALANTE,COMUNIDA INDIGENA VILLA ESCALANTE,COMUNIDAD,SA.1 PAGO POR SERVICIOS AMBIENTALES,PSA NACIONAL,1000,2607000,0,2607000,2025,SERVICIOS AMBIENTALES Y CONSERVACIÓN DE LA BIODIVERSIDAD
PSAAAP5525160069,16,MICHOACÁN DE OCAMPO,NAHUATZEN,COMUNIDAD INDIGENA DE SEVINA,COMUNIDAD,SA.1 PAGO POR SERVICIOS AMBIENTALES,PSA NACIONAL,508,1009783,0,1009783,2025,SERVICIOS AMBIENTALES Y CONSERVACIÓN DE LA BIODIVERSIDAD
PSAAAP4924010001,1,AGUASCALIENTES,JESÚS MARÍA,EDUARDO RODRIGUEZ MARTINEZ,PEQUEÑO PROPIETARIO,SA.1 PAGO POR SERVICIOS AMBIENTALES,PSA NACIONAL,107.84,236775,0,236775,2024,SERVICIOS AMBIENTALES Y CONSERVACIÓN DE LA BIODIVERSIDAD
PSAAAP4924010004,1,AGUASCALIENTES,SAN JOSÉ DE GRACIA,JOSE  CARLOS LOZANO RIVERA RIO,PEQUEÑO PROPIETARIO,SA.1 PAGO POR SERVICIOS AMBIENTALES,PSA NACIONAL,100,241880,0,241880,2024,SERVICIOS AMBIENTALES Y CONSERVACIÓN DE LA BIODIVERSIDAD
PSAAAP4924140049,14,JALISCO,TLAJOMULCO DE ZÚÑIGA,COMUNIDAD INDIGENA DE TLAJOMULCO DE ZUÑIGA,COMUNIDAD,SA.1 PAGO POR SERVICIOS AMBIENTALES,PSA NACIONAL,614.61,1026202,0,1026202,2024,SERVICIOS AMBIENTALES Y CONSERVACIÓN DE LA BIODIVERSIDAD
PSAAAP4924180008,18,NAYARIT,DEL NAYAR,COMUNIDAD INDIGENA POTRERO DE LA PALMITA,COMUNIDAD,SA.1 PAGO POR SERVICIOS AMBIENTALES,PSA NACIONAL,1893.44,3366582,0,3366582,2024,SERVICIOS AMBIENTALES Y CONSERVACIÓN DE LA BIODIVERSIDAD
PSAAAP4924180021,18,NAYARIT,DEL NAYAR,EJIDO AGUAMILPA,EJIDO,SA.1 PAGO POR SERVICIOS AMBIENTALES,PSA NACIONAL,1974.46,3503149,0,3503149,2024,SERVICIOS AMBIENTALES Y CONSERVACIÓN DE LA BIODIVERSIDAD
PSAAAP4924320007,32,ZACATECAS,SUSTICACÁN,COMUNIDAD EL CHIQUIHUITE,COMUNIDAD,SA.1 PAGO POR SERVICIOS AMBIENTALES,PSA NACIONAL,1699.48,2918300,0,2918300,2024,SERVICIOS AMBIENTALES Y CONSERVACIÓN DE LA BIODIVERSIDAD
PSAAAP4924160017,16,MICHOACÁN DE OCAMPO,LOS REYES,COMUNIDAD INDIGENA DE PAMATACUARO,COMUNIDAD,SA.1 PAGO POR SERVICIOS AMBIENTALES,PSA NACIONAL,1915.92,3746466,0,3746466,2024,SERVICIOS AMBIENTALES Y CONSERVACIÓN DE LA BIODIVERSIDAD
PSAAAP4924160004,16,MICHOACÁN DE OCAMPO,PARACHO,COMUNIDAD INDIGENA CHERAN ATZICURIN,COMUNIDAD,SA.1 PAGO POR SERVICIOS AMBIENTALES,PSA NACIONAL,420.69,821652,0,821652,2024,SERVICIOS AMBIENTALES Y CONSERVACIÓN DE LA BIODIVERSIDAD
